#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9            w1            w2          w3-1          w3-2        c1w1-2        c1w2-1        c2w1-1        c2w1-9
 2.731500E+02  2.641026E-02  2.414588E-05  7.793081E-09  1.022861E-08  1.138014E-08  1.356940E-08  1.082430E-02  4.205893E-05  2.216256E-06  3.109644E-08  7.212481E-03  2.053735E-06  1.349193E-07  1.184735E-07
 2.741500E+02  2.635117E-02  2.370094E-05  7.436876E-09  9.764384E-09  1.086446E-08  1.295861E-08  1.085451E-02  4.146922E-05  2.083230E-06  3.036585E-08  7.080810E-03  1.945861E-06  1.291891E-07  1.133439E-07
 2.751500E+02  2.629192E-02  2.326699E-05  7.099340E-09  9.324343E-09  1.037562E-08  1.237941E-08  1.088339E-02  4.088402E-05  1.958500E-06  2.964938E-08  6.951779E-03  1.844028E-06  1.237300E-07  1.084614E-07
 2.761500E+02  2.623252E-02  2.284369E-05  6.779380E-09  8.907075E-09  9.912032E-09  1.182997E-08  1.091095E-02  4.030357E-05  1.841541E-06  2.894705E-08  6.825342E-03  1.747885E-06  1.185282E-07  1.038131E-07
 2.771500E+02  2.617297E-02  2.243072E-05  6.475972E-09  8.511262E-09  9.472250E-09  1.130858E-08  1.093723E-02  3.972810E-05  1.731858E-06  2.825885E-08  6.701452E-03  1.657097E-06  1.135704E-07  9.938684E-08
 2.781500E+02  2.611327E-02  2.202778E-05  6.188160E-09  8.135668E-09  9.054904E-09  1.081364E-08  1.096225E-02  3.915782E-05  1.628988E-06  2.758475E-08  6.580065E-03  1.571353E-06  1.088442E-07  9.517109E-08
 2.791500E+02  2.605345E-02  2.163456E-05  5.915045E-09  7.779138E-09  8.658711E-09  1.034364E-08  1.098604E-02  3.859291E-05  1.532498E-06  2.692470E-08  6.461136E-03  1.490360E-06  1.043379E-07  9.115499E-08
 2.801500E+02  2.599350E-02  2.125079E-05  5.655790E-09  7.440589E-09  8.282473E-09  9.897178E-09  1.100862E-02  3.803356E-05  1.441983E-06  2.627863E-08  6.344620E-03  1.413841E-06  1.000404E-07  8.732825E-08
 2.811500E+02  2.593343E-02  2.087618E-05  5.409606E-09  7.119004E-09  7.925062E-09  9.472930E-09  1.103003E-02  3.747991E-05  1.357063E-06  2.564644E-08  6.230472E-03  1.341536E-06  9.594120E-08  8.368118E-08
 2.821500E+02  2.587325E-02  2.051046E-05  5.175755E-09  6.813433E-09  7.585424E-09  9.069659E-09  1.105028E-02  3.693212E-05  1.277383E-06  2.502803E-08  6.118648E-03  1.273203E-06  9.203025E-08  8.020461E-08
 2.831500E+02  2.581298E-02  2.015338E-05  4.953547E-09  6.522982E-09  7.262569E-09  8.686201E-09  1.106939E-02  3.639029E-05  1.202609E-06  2.442327E-08  6.009105E-03  1.208611E-06  8.829818E-08  7.688985E-08
