#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9            m1          m2-1          m3-1          c1m1        c1m2-1        c1m2-7        c2m1-1
 2.731500E+02  4.221022E-02  6.169622E-05  3.183430E-08  4.178328E-08  4.648722E-08  5.543023E-08  2.133822E-03  4.007090E-07  1.082924E-09  9.860965E-05  4.693258E-09  1.540007E-08  3.099144E-08
 2.741500E+02  4.205789E-02  6.039315E-05  3.025430E-08  3.972294E-08  4.419823E-08  5.271751E-08  2.128288E-03  3.906752E-07  9.999602E-10  9.586762E-05  4.372838E-09  1.439514E-08  2.923987E-08
 2.751500E+02  4.190664E-02  5.912748E-05  2.876443E-08  3.777949E-08  4.203894E-08  5.015771E-08  2.122725E-03  3.809453E-07  9.238321E-10  9.321954E-05  4.076291E-09  1.346208E-08  2.759922E-08
 2.761500E+02  4.175644E-02  5.789789E-05  2.735895E-08  3.594551E-08  4.000112E-08  4.774117E-08  2.117135E-03  3.715092E-07  8.539412E-10  9.066172E-05  3.801702E-09  1.259535E-08  2.606179E-08
 2.771500E+02  4.160729E-02  5.670314E-05  2.603252E-08  3.421410E-08  3.807714E-08  4.545894E-08  2.111521E-03  3.623570E-07  7.897436E-10  8.819063E-05  3.547324E-09  1.178984E-08  2.462046E-08
 2.781500E+02  4.145918E-02  5.554203E-05  2.478016E-08  3.257885E-08  3.625988E-08  4.330264E-08  2.105885E-03  3.534795E-07  7.307457E-10  8.580288E-05  3.311553E-09  1.104091E-08  2.326864E-08
 2.791500E+02  4.131210E-02  5.441338E-05  2.359724E-08  3.103377E-08  3.454270E-08  4.126449E-08  2.100231E-03  3.448674E-07  6.764988E-10  8.349524E-05  3.092924E-09  1.034424E-08  2.200021E-08
 2.801500E+02  4.116604E-02  5.331611E-05  2.247945E-08  2.957329E-08  3.291944E-08  3.933723E-08  2.094560E-03  3.365119E-07  6.265952E-10  8.126461E-05  2.890093E-09  9.695902E-09  2.080953E-08
 2.811500E+02  4.102099E-02  5.224913E-05  2.142277E-08  2.819223E-08  3.138432E-08  3.751409E-08  2.088875E-03  3.284046E-07  5.806641E-10  7.910803E-05  2.701829E-09  9.092267E-09  1.969136E-08
 2.821500E+02  4.087694E-02  5.121144E-05  2.042347E-08  2.688573E-08  2.993200E-08  3.578877E-08  2.083177E-03  3.205372E-07  5.383683E-10  7.702266E-05  2.527004E-09  8.529998E-09  1.864083E-08
 2.831500E+02  4.073388E-02  5.020204E-05  1.947805E-08  2.564929E-08  2.855745E-08  3.415537E-08  2.077469E-03  3.129017E-07  4.994005E-10  7.500577E-05  2.364582E-09  8.006028E-09  1.765344E-08
 2.841500E+02  4.059180E-02  4.921999E-05  1.858324E-08  2.447868E-08  2.725600E-08  3.260838E-08  2.071752E-03  3.054906E-07  4.634813E-10  7.305477E-05  2.213612E-09  7.517529E-09  1.672502E-08
 2.851500E+02  4.045070E-02  4.826439E-05  1.773602E-08  2.336998E-08  2.602329E-08  3.114269E-08  2.066029E-03  2.982963E-07  4.303558E-10  7.116716E-05  2.073222E-09  7.061899E-09  1.585169E-08
 2.861500E+02  4.031055E-02  4.733436E-05  1.693354E-08  2.231950E-08  2.485523E-08  2.975347E-08  2.060300E-03  2.913117E-07  3.997919E-10  6.934055E-05  1.942611E-09  6.636740E-09  1.502983E-08
 2.871500E+02  4.017136E-02  4.642906E-05  1.617314E-08  2.132381E-08  2.374803E-08  2.843625E-08  2.054568E-03  2.845300E-07  3.715776E-10  6.757265E-05  1.821042E-09  6.239842E-09  1.425611E-08
 2.881500E+02  4.003310E-02  4.554769E-05  1.545235E-08  2.037970E-08  2.269810E-08  2.718683E-08  2.048835E-03  2.779444E-07  3.455198E-10  6.586127E-05  1.707838E-09  5.869165E-09  1.352741E-08
 2.891500E+02  3.989579E-02  4.468947E-05  1.476885E-08  1.948415E-08  2.170212E-08  2.600127E-08  2.043101E-03  2.715485E-07  3.214421E-10  6.420431E-05  1.602376E-09  5.522828E-09  1.284085E-08
 2.901500E+02  3.975939E-02  4.385366E-05  1.412046E-08  1.863437E-08  2.075698E-08  2.487590E-08  2.037368E-03  2.653362E-07  2.991834E-10  6.259975E-05  1.504082E-09  5.199095E-09  1.219373E-08
 2.911500E+02  3.962391E-02  4.303953E-05  1.350516E-08  1.782771E-08  1.985974E-08  2.380729E-08  2.031637E-03  2.593013E-07  2.785966E-10  6.104566E-05  1.412428E-09  4.896362E-09  1.158354E-08
 2.921500E+02  3.948934E-02  4.224639E-05  1.292105E-08  1.706172E-08  1.900767E-08  2.279220E-08  2.025909E-03  2.534382E-07  2.595469E-10  5.954019E-05  1.326928E-09  4.613148E-09  1.100796E-08
 2.931500E+02  3.935567E-02  4.147359E-05  1.236635E-08  1.633408E-08  1.819821E-08  2.182760E-08  2.020187E-03  2.477413E-07  2.419114E-10  5.808156E-05  1.247135E-09  4.348083E-09  1.046482E-08
 2.941500E+02  3.922289E-02  4.072047E-05  1.183939E-08  1.564262E-08  1.742896E-08  2.091068E-08  2.014470E-03  2.422050E-07  2.255776E-10  5.666807E-05  1.172634E-09  4.099902E-09  9.952093E-09
 2.951500E+02  3.909099E-02  3.998642E-05  1.133861E-08  1.498533E-08  1.669767E-08  2.003876E-08  2.008759E-03  2.368244E-07  2.104422E-10  5.529809E-05  1.103046E-09  3.867433E-09  9.467891E-09
 2.961500E+02  3.895996E-02  3.927085E-05  1.086253E-08  1.436028E-08  1.600221E-08  1.920935E-08  2.003057E-03  2.315942E-07  1.964110E-10  5.397004E-05  1.038017E-09  3.649593E-09  9.010459E-09
 2.971500E+02  3.882980E-02  3.857319E-05  1.040979E-08  1.376571E-08  1.534062E-08  1.842012E-08  1.997363E-03  2.265098E-07  1.833974E-10  5.268242E-05  9.772245E-10  3.445379E-09  8.578157E-09
