#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9
 2.731500E+02  9.969182E-01  3.067974E-03  2.499774E-06  3.281014E-06  3.650389E-06  4.352635E-06
 2.741500E+02  9.969726E-01  3.014210E-03  2.384428E-06  3.130679E-06  3.483390E-06  4.154819E-06
 2.751500E+02  9.970256E-01  2.961842E-03  2.275300E-06  2.988401E-06  3.325329E-06  3.967533E-06
 2.761500E+02  9.970772E-01  2.910825E-03  2.172011E-06  2.853693E-06  3.175666E-06  3.790144E-06
 2.771500E+02  9.971274E-01  2.861115E-03  2.074210E-06  2.726099E-06  3.033897E-06  3.622061E-06
 2.781500E+02  9.971764E-01  2.812672E-03  1.981566E-06  2.605196E-06  2.899552E-06  3.462733E-06
 2.791500E+02  9.972241E-01  2.765453E-03  1.893773E-06  2.490585E-06  2.772191E-06  3.311642E-06
 2.801500E+02  9.972706E-01  2.719421E-03  1.810544E-06  2.381898E-06  2.651404E-06  3.168307E-06
 2.811500E+02  9.973159E-01  2.674539E-03  1.731610E-06  2.278787E-06  2.536806E-06  3.032277E-06
 2.821500E+02  9.973601E-01  2.630771E-03  1.656720E-06  2.180929E-06  2.428037E-06  2.903130E-06
 2.831500E+02  9.974031E-01  2.588081E-03  1.585641E-06  2.088020E-06  2.324763E-06  2.780471E-06
 2.841500E+02  9.974452E-01  2.546437E-03  1.518151E-06  1.999777E-06  2.226669E-06  2.663930E-06
 2.851500E+02  9.974861E-01  2.505807E-03  1.454047E-06  1.915934E-06  2.133459E-06  2.553161E-06
 2.861500E+02  9.975261E-01  2.466160E-03  1.393134E-06  1.836241E-06  2.044858E-06  2.447840E-06
 2.871500E+02  9.975651E-01  2.427466E-03  1.335234E-06  1.760467E-06  1.960607E-06  2.347661E-06
 2.881500E+02  9.976032E-01  2.389696E-03  1.280177E-06  1.688392E-06  1.880464E-06  2.252340E-06
 2.891500E+02  9.976404E-01  2.352823E-03  1.227804E-06  1.619810E-06  1.804200E-06  2.161608E-06
 2.901500E+02  9.976766E-01  2.316820E-03  1.177967E-06  1.554529E-06  1.731603E-06  2.075215E-06
 2.911500E+02  9.977121E-01  2.281661E-03  1.130526E-06  1.492369E-06  1.662471E-06  1.992923E-06
 2.921500E+02  9.977466E-01  2.247321E-03  1.085350E-06  1.433160E-06  1.596617E-06  1.914512E-06
 2.931500E+02  9.977804E-01  2.213776E-03  1.042316E-06  1.376742E-06  1.533863E-06  1.839772E-06
 2.941500E+02  9.978134E-01  2.181004E-03  1.001309E-06  1.322965E-06  1.474044E-06  1.768508E-06
 2.951500E+02  9.978457E-01  2.148981E-03  9.622198E-07  1.271689E-06  1.417002E-06  1.700535E-06
 2.961500E+02  9.978772E-01  2.117687E-03  9.249459E-07  1.222780E-06  1.362591E-06  1.635679E-06
 2.971500E+02  9.979080E-01  2.087099E-03  8.893915E-07  1.176115E-06  1.310672E-06  1.573778E-06
 2.981500E+02  9.979380E-01  2.057199E-03  8.554661E-07  1.131575E-06  1.261114E-06  1.514678E-06
 2.991500E+02  9.979674E-01  2.027967E-03  8.230844E-07  1.089050E-06  1.213796E-06  1.458233E-06
 3.001500E+02  9.979962E-01  1.999383E-03  7.921663E-07  1.048435E-06  1.168602E-06  1.404307E-06
 3.011500E+02  9.980243E-01  1.971430E-03  7.626362E-07  1.009634E-06  1.125422E-06  1.352773E-06
 3.021500E+02  9.980518E-01  1.944091E-03  7.344228E-07  9.725527E-07  1.084153E-06  1.303507E-06
 3.031500E+02  9.980787E-01  1.917347E-03  7.074591E-07  9.371042E-07  1.044700E-06  1.256396E-06
 3.041500E+02  9.981050E-01  1.891183E-03  6.816817E-07  9.032063E-07  1.006970E-06  1.211332E-06
 3.051500E+02  9.981307E-01  1.865583E-03  6.570308E-07  8.707812E-07  9.708774E-07  1.168213E-06
 3.061500E+02  9.981559E-01  1.840532E-03  6.334501E-07  8.397556E-07  9.363405E-07  1.126942E-06
 3.071500E+02  9.981806E-01  1.816014E-03  6.108863E-07  8.100602E-07  9.032826E-07  1.087429E-06
 3.081500E+02  9.982047E-01  1.792015E-03  5.892892E-07  7.816296E-07  8.716308E-07  1.049588E-06
 3.091500E+02  9.982283E-01  1.768522E-03  5.686113E-07  7.544020E-07  8.413165E-07  1.013337E-06
 3.101500E+02  9.982514E-01  1.745521E-03  5.488076E-07  7.283188E-07  8.122749E-07  9.785992E-07
 3.111500E+02  9.982740E-01  1.722998E-03  5.298357E-07  7.033249E-07  7.844445E-07  9.453025E-07
 3.121500E+02  9.982962E-01  1.700941E-03  5.116555E-07  6.793679E-07  7.577672E-07  9.133779E-07
 3.131500E+02  9.983179E-01  1.679338E-03  4.942291E-07  6.563984E-07  7.321881E-07  8.827603E-07
 3.141500E+02  9.983391E-01  1.658178E-03  4.775204E-07  6.343695E-07  7.076552E-07  8.533880E-07
 3.151500E+02  9.983600E-01  1.637447E-03  4.614956E-07  6.132369E-07  6.841191E-07  8.252028E-07
 3.161500E+02  9.983804E-01  1.617137E-03  4.461223E-07  5.929585E-07  6.615332E-07  7.981492E-07
 3.171500E+02  9.984003E-01  1.597234E-03  4.313700E-07  5.734946E-07  6.398533E-07  7.721750E-07
 3.181500E+02  9.984199E-01  1.577731E-03  4.172099E-07  5.548074E-07  6.190375E-07  7.472303E-07
 3.191500E+02  9.984391E-01  1.558615E-03  4.036146E-07  5.368613E-07  5.990461E-07  7.232680E-07
 3.201500E+02  9.984579E-01  1.539877E-03  3.905581E-07  5.196222E-07  5.798413E-07  7.002435E-07
 3.211500E+02  9.984764E-01  1.521508E-03  3.780157E-07  5.030580E-07  5.613874E-07  6.781144E-07
 3.221500E+02  9.984944E-01  1.503499E-03  3.659641E-07  4.871382E-07  5.436505E-07  6.568403E-07
 3.231500E+02  9.985122E-01  1.485840E-03  3.543811E-07  4.718338E-07  5.265984E-07  6.363831E-07
 3.241500E+02  9.985296E-01  1.468523E-03  3.432456E-07  4.571174E-07  5.102005E-07  6.167064E-07
 3.251500E+02  9.985466E-01  1.451539E-03  3.325377E-07  4.429627E-07  4.944277E-07  5.977758E-07
 3.261500E+02  9.985633E-01  1.434880E-03  3.222383E-07  4.293449E-07  4.792525E-07  5.795585E-07
 3.271500E+02  9.985797E-01  1.418539E-03  3.123295E-07  4.162405E-07  4.646487E-07  5.620233E-07
 3.281500E+02  9.985958E-01  1.402507E-03  3.027941E-07  4.036271E-07  4.505913E-07  5.451406E-07
 3.291500E+02  9.986116E-01  1.386778E-03  2.936157E-07  3.914832E-07  4.370566E-07  5.288822E-07
 3.301500E+02  9.986271E-01  1.371343E-03  2.847790E-07  3.797887E-07  4.240220E-07  5.132213E-07
 3.311500E+02  9.986422E-01  1.356196E-03  2.762690E-07  3.685242E-07  4.114662E-07  4.981325E-07
 3.321500E+02  9.986572E-01  1.341330E-03  2.680720E-07  3.576715E-07  3.993687E-07  4.835914E-07
 3.331500E+02  9.986718E-01  1.326738E-03  2.601744E-07  3.472129E-07  3.877100E-07  4.695750E-07
 3.341500E+02  9.986862E-01  1.312413E-03  2.525635E-07  3.371319E-07  3.764717E-07  4.560611E-07
 3.351500E+02  9.987003E-01  1.298351E-03  2.452274E-07  3.274126E-07  3.656361E-07  4.430289E-07
 3.361500E+02  9.987141E-01  1.284543E-03  2.381544E-07  3.180400E-07  3.551865E-07  4.304583E-07
 3.371500E+02  9.987277E-01  1.270986E-03  2.313336E-07  3.089995E-07  3.451068E-07  4.183303E-07
 3.381500E+02  9.987411E-01  1.257671E-03  2.247545E-07  3.002776E-07  3.353818E-07  4.066267E-07
 3.391500E+02  9.987542E-01  1.244595E-03  2.184072E-07  2.918612E-07  3.259970E-07  3.953303E-07
 3.401500E+02  9.987671E-01  1.231752E-03  2.122821E-07  2.837378E-07  3.169385E-07  3.844245E-07
 3.411500E+02  9.987797E-01  1.219135E-03  2.063702E-07  2.758954E-07  3.081930E-07  3.738935E-07
 3.421500E+02  9.987921E-01  1.206741E-03  2.006628E-07  2.683228E-07  2.997479E-07  3.637222E-07
 3.431500E+02  9.988043E-01  1.194564E-03  1.951517E-07  2.610091E-07  2.915913E-07  3.538964E-07
 3.441500E+02  9.988163E-01  1.182600E-03  1.898290E-07  2.539440E-07  2.837115E-07  3.444024E-07
 3.451500E+02  9.988281E-01  1.170843E-03  1.846872E-07  2.471176E-07  2.760976E-07  3.352269E-07
 3.461500E+02  9.988397E-01  1.159288E-03  1.797191E-07  2.405205E-07  2.687391E-07  3.263576E-07
 3.471500E+02  9.988511E-01  1.147932E-03  1.749178E-07  2.341437E-07  2.616261E-07  3.177824E-07
 3.481500E+02  9.988623E-01  1.136771E-03  1.702769E-07  2.279786E-07  2.547488E-07  3.094899E-07
 3.491500E+02  9.988733E-01  1.125798E-03  1.657900E-07  2.220169E-07  2.480982E-07  3.014693E-07
 3.501500E+02  9.988841E-01  1.115012E-03  1.614511E-07  2.162507E-07  2.416655E-07  2.937100E-07
 3.511500E+02  9.988947E-01  1.104407E-03  1.572546E-07  2.106727E-07  2.354424E-07  2.862021E-07
 3.521500E+02  9.989052E-01  1.093980E-03  1.531950E-07  2.052756E-07  2.294208E-07  2.789360E-07
 3.531500E+02  9.989154E-01  1.083727E-03  1.492670E-07  2.000524E-07  2.235931E-07  2.719026E-07
 3.541500E+02  9.989255E-01  1.073643E-03  1.454656E-07  1.949967E-07  2.179520E-07  2.650932E-07
 3.551500E+02  9.989355E-01  1.063727E-03  1.417861E-07  1.901021E-07  2.124904E-07  2.584993E-07
 3.561500E+02  9.989452E-01  1.053973E-03  1.382239E-07  1.853626E-07  2.072017E-07  2.521129E-07
 3.571500E+02  9.989549E-01  1.044379E-03  1.347745E-07  1.807724E-07  2.020794E-07  2.459263E-07
 3.581500E+02  9.989643E-01  1.034940E-03  1.314339E-07  1.763260E-07  1.971173E-07  2.399323E-07
 3.591500E+02  9.989736E-01  1.025655E-03  1.281979E-07  1.720180E-07  1.923096E-07  2.341237E-07
 3.601500E+02  9.989828E-01  1.016520E-03  1.250626E-07  1.678436E-07  1.876506E-07  2.284938E-07
 3.611500E+02  9.989918E-01  1.007531E-03  1.220245E-07  1.637976E-07  1.831349E-07  2.230361E-07
 3.621500E+02  9.990006E-01  9.986851E-04  1.190800E-07  1.598756E-07  1.787573E-07  2.177444E-07
 3.631500E+02  9.990094E-01  9.899802E-04  1.162256E-07  1.560729E-07  1.745129E-07  2.126127E-07
 3.641500E+02  9.990179E-01  9.814130E-04  1.134582E-07  1.523855E-07  1.703968E-07  2.076354E-07
 3.651500E+02  9.990264E-01  9.729808E-04  1.107746E-07  1.488090E-07  1.664044E-07  2.028069E-07
 3.661500E+02  9.990347E-01  9.646807E-04  1.081717E-07  1.453396E-07  1.625315E-07  1.981221E-07
 3.671500E+02  9.990429E-01  9.565102E-04  1.056469E-07  1.419735E-07  1.587737E-07  1.935758E-07
 3.681500E+02  9.990509E-01  9.484665E-04  1.031972E-07  1.387071E-07  1.551270E-07  1.891631E-07
 3.691500E+02  9.990589E-01  9.405472E-04  1.008201E-07  1.355369E-07  1.515876E-07  1.848796E-07
 3.701500E+02  9.990667E-01  9.327498E-04  9.851294E-08  1.324595E-07  1.481517E-07  1.807206E-07
 3.711500E+02  9.990744E-01  9.250718E-04  9.627340E-08  1.294717E-07  1.448157E-07  1.766819E-07
 3.721500E+02  9.990820E-01  9.175109E-04  9.409909E-08  1.265705E-07  1.415763E-07  1.727595E-07
 3.731500E+02  9.990894E-01  9.100648E-04  9.198776E-08  1.237528E-07  1.384300E-07  1.689492E-07
 3.741500E+02  9.990968E-01  9.027312E-04  8.993727E-08  1.210158E-07  1.353737E-07  1.652473E-07
 3.751500E+02  9.991040E-01  8.955080E-04  8.794553E-08  1.183568E-07  1.324044E-07  1.616502E-07
 3.761500E+02  9.991111E-01  8.883930E-04  8.601055E-08  1.157731E-07  1.295191E-07  1.581544E-07
