#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9
 2.731500E+02  4.443448E-02  6.837262E-05  3.713985E-08  4.874695E-08  5.423486E-08  6.466832E-08
 2.741500E+02  4.427402E-02  6.692821E-05  3.529626E-08  4.634288E-08  5.156399E-08  6.150303E-08
 2.751500E+02  4.411468E-02  6.552526E-05  3.355786E-08  4.407522E-08  4.904448E-08  5.851620E-08
 2.761500E+02  4.395647E-02  6.416233E-05  3.191794E-08  4.193532E-08  4.666675E-08  5.569657E-08
 2.771500E+02  4.379936E-02  6.283802E-05  3.037026E-08  3.991513E-08  4.442186E-08  5.303367E-08
 2.781500E+02  4.364335E-02  6.155101E-05  2.890903E-08  3.800714E-08  4.230151E-08  5.051773E-08
 2.791500E+02  4.348843E-02  6.030000E-05  2.752883E-08  3.620439E-08  4.029795E-08  4.813967E-08
 2.801500E+02  4.333459E-02  5.908377E-05  2.622464E-08  3.450036E-08  3.840399E-08  4.589102E-08
 2.811500E+02  4.318182E-02  5.790114E-05  2.499177E-08  3.288900E-08  3.661290E-08  4.376387E-08
 2.821500E+02  4.303010E-02  5.675097E-05  2.382585E-08  3.136466E-08  3.491841E-08  4.175087E-08
 2.831500E+02  4.287942E-02  5.563218E-05  2.272279E-08  2.992207E-08  3.331468E-08  3.984513E-08
 2.841500E+02  4.272978E-02  5.454371E-05  2.167881E-08  2.855630E-08  3.179626E-08  3.804024E-08
 2.851500E+02  4.258117E-02  5.348456E-05  2.069035E-08  2.726277E-08  3.035804E-08  3.633019E-08
 2.861500E+02  4.243357E-02  5.245376E-05  1.975409E-08  2.603717E-08  2.899527E-08  3.470939E-08
 2.871500E+02  4.228697E-02  5.145037E-05  1.886694E-08  2.487551E-08  2.770350E-08  3.317260E-08
 2.881500E+02  4.214137E-02  5.047352E-05  1.802601E-08  2.377403E-08  2.647857E-08  3.171491E-08
 2.891500E+02  4.199676E-02  4.952233E-05  1.722858E-08  2.272922E-08  2.531659E-08  3.033175E-08
 2.901500E+02  4.185312E-02  4.859598E-05  1.647213E-08  2.173781E-08  2.421392E-08  2.901883E-08
 2.911500E+02  4.171045E-02  4.769367E-05  1.575429E-08  2.079671E-08  2.316715E-08  2.777212E-08
 2.921500E+02  4.156874E-02  4.681464E-05  1.507284E-08  1.990307E-08  2.217308E-08  2.658786E-08
 2.931500E+02  4.142797E-02  4.595814E-05  1.442570E-08  1.905417E-08  2.122873E-08  2.546252E-08
 2.941500E+02  4.128814E-02  4.512347E-05  1.381093E-08  1.824749E-08  2.033130E-08  2.439280E-08
 2.951500E+02  4.114924E-02  4.430993E-05  1.322670E-08  1.748067E-08  1.947815E-08  2.337560E-08
 2.961500E+02  4.101127E-02  4.351688E-05  1.267130E-08  1.675148E-08  1.866682E-08  2.240799E-08
 2.971500E+02  4.087420E-02  4.274368E-05  1.214313E-08  1.605784E-08  1.789499E-08  2.148726E-08
 2.981500E+02  4.073804E-02  4.198971E-05  1.164067E-08  1.539779E-08  1.716049E-08  2.061083E-08
 2.991500E+02  4.060277E-02  4.125438E-05  1.116252E-08  1.476950E-08  1.646129E-08  1.977629E-08
 3.001500E+02  4.046839E-02  4.053714E-05  1.070735E-08  1.417123E-08  1.579546E-08  1.898139E-08
 3.011500E+02  4.033488E-02  3.983741E-05  1.027391E-08  1.360136E-08  1.516120E-08  1.822398E-08
 3.021500E+02  4.020225E-02  3.915469E-05  9.861027E-09  1.305837E-08  1.455683E-08  1.750207E-08
 3.031500E+02  4.007047E-02  3.848845E-05  9.467597E-09  1.254083E-08  1.398073E-08  1.681377E-08
 3.041500E+02  3.993955E-02  3.783821E-05  9.092583E-09  1.204738E-08  1.343143E-08  1.615731E-08
 3.051500E+02  3.980947E-02  3.720349E-05  8.735011E-09  1.157675E-08  1.290750E-08  1.553101E-08
 3.061500E+02  3.968023E-02  3.658383E-05  8.393962E-09  1.112775E-08  1.240762E-08  1.493332E-08
 3.071500E+02  3.955182E-02  3.597879E-05  8.068569E-09  1.069925E-08  1.193053E-08  1.436273E-08
 3.081500E+02  3.942423E-02  3.538795E-05  7.758020E-09  1.029019E-08  1.147506E-08  1.381787E-08
 3.091500E+02  3.929745E-02  3.481088E-05  7.461545E-09  9.899565E-09  1.104009E-08  1.329741E-08
 3.101500E+02  3.917148E-02  3.424720E-05  7.178421E-09  9.526434E-09  1.062458E-08  1.280011E-08
 3.111500E+02  3.904631E-02  3.369651E-05  6.907967E-09  9.169908E-09  1.022754E-08  1.232480E-08
 3.121500E+02  3.892193E-02  3.315845E-05  6.649537E-09  8.829147E-09  9.848034E-09  1.187037E-08
 3.131500E+02  3.879833E-02  3.263266E-05  6.402525E-09  8.503359E-09  9.485181E-09  1.143578E-08
 3.141500E+02  3.867551E-02  3.211878E-05  6.166357E-09  8.191794E-09  9.138152E-09  1.102004E-08
 3.151500E+02  3.855346E-02  3.161648E-05  5.940493E-09  7.893747E-09  8.806162E-09  1.062223E-08
 3.161500E+02  3.843217E-02  3.112545E-05  5.724421E-09  7.608551E-09  8.488467E-09  1.024146E-08
 3.171500E+02  3.831164E-02  3.064536E-05  5.517657E-09  7.335573E-09  8.184368E-09  9.876895E-09
 3.181500E+02  3.819185E-02  3.017591E-05  5.319746E-09  7.074219E-09  7.893202E-09  9.527757E-09
 3.191500E+02  3.807281E-02  2.971680E-05  5.130255E-09  6.823923E-09  7.614340E-09  9.193298E-09
 3.201500E+02  3.795450E-02  2.926776E-05  4.948777E-09  6.584153E-09  7.347191E-09  8.872813E-09
 3.211500E+02  3.783692E-02  2.882851E-05  4.774925E-09  6.354403E-09  7.091194E-09  8.565637E-09
 3.221500E+02  3.772006E-02  2.839878E-05  4.608334E-09  6.134196E-09  6.845816E-09  8.271138E-09
 3.231500E+02  3.760391E-02  2.797832E-05  4.448657E-09  5.923079E-09  6.610555E-09  7.988718E-09
 3.241500E+02  3.748848E-02  2.756687E-05  4.295568E-09  5.720624E-09  6.384935E-09  7.717811E-09
 3.251500E+02  3.737375E-02  2.716420E-05  4.148756E-09  5.526424E-09  6.168504E-09  7.457880E-09
 3.261500E+02  3.725971E-02  2.677007E-05  4.007927E-09  5.340094E-09  5.960834E-09  7.208416E-09
 3.271500E+02  3.714636E-02  2.638426E-05  3.872802E-09  5.161271E-09  5.761519E-09  6.968938E-09
 3.281500E+02  3.703370E-02  2.600653E-05  3.743117E-09  4.989607E-09  5.570175E-09  6.738986E-09
 3.291500E+02  3.692171E-02  2.563670E-05  3.618622E-09  4.824775E-09  5.386437E-09  6.518128E-09
 3.301500E+02  3.681039E-02  2.527454E-05  3.499079E-09  4.666464E-09  5.209959E-09  6.305951E-09
 3.311500E+02  3.669974E-02  2.491986E-05  3.384263E-09  4.514378E-09  5.040412E-09  6.102064E-09
 3.321500E+02  3.658976E-02  2.457246E-05  3.273959E-09  4.368236E-09  4.877483E-09  5.906095E-09
 3.331500E+02  3.648042E-02  2.423216E-05  3.167964E-09  4.227773E-09  4.720878E-09  5.717691E-09
 3.341500E+02  3.637173E-02  2.389877E-05  3.066086E-09  4.092734E-09  4.570314E-09  5.536518E-09
 3.351500E+02  3.626369E-02  2.357213E-05  2.968141E-09  3.962880E-09  4.425523E-09  5.362256E-09
 3.361500E+02  3.615628E-02  2.325205E-05  2.873954E-09  3.837982E-09  4.286252E-09  5.194603E-09
 3.371500E+02  3.604950E-02  2.293838E-05  2.783361E-09  3.717823E-09  4.152259E-09  5.033270E-09
 3.381500E+02  3.594335E-02  2.263095E-05  2.696204E-09  3.602196E-09  4.023314E-09  4.877983E-09
 3.391500E+02  3.583782E-02  2.232961E-05  2.612333E-09  3.490905E-09  3.899198E-09  4.728483E-09
 3.401500E+02  3.573290E-02  2.203420E-05  2.531606E-09  3.383763E-09  3.779704E-09  4.584520E-09
 3.411500E+02  3.562860E-02  2.174458E-05  2.453887E-09  3.280592E-09  3.664633E-09  4.445858E-09
 3.421500E+02  3.552489E-02  2.146060E-05  2.379048E-09  3.181222E-09  3.553797E-09  4.312273E-09
 3.431500E+02  3.542179E-02  2.118213E-05  2.306966E-09  3.085493E-09  3.447017E-09  4.183551E-09
 3.441500E+02  3.531928E-02  2.090904E-05  2.237523E-09  2.993250E-09  3.344121E-09  4.059487E-09
 3.451500E+02  3.521737E-02  2.064118E-05  2.170609E-09  2.904348E-09  3.244946E-09  3.939887E-09
 3.461500E+02  3.511603E-02  2.037845E-05  2.106117E-09  2.818646E-09  3.149338E-09  3.824565E-09
 3.471500E+02  3.501527E-02  2.012070E-05  2.043947E-09  2.736012E-09  3.057149E-09  3.713345E-09
 3.481500E+02  3.491509E-02  1.986783E-05  1.984002E-09  2.656320E-09  2.968236E-09  3.606059E-09
 3.491500E+02  3.481548E-02  1.961971E-05  1.926189E-09  2.579448E-09  2.882467E-09  3.502546E-09
 3.501500E+02  3.471643E-02  1.937624E-05  1.870423E-09  2.505281E-09  2.799713E-09  3.402652E-09
 3.511500E+02  3.461795E-02  1.913731E-05  1.816619E-09  2.433709E-09  2.719850E-09  3.306231E-09
 3.521500E+02  3.452001E-02  1.890280E-05  1.764696E-09  2.364627E-09  2.642763E-09  3.213143E-09
 3.531500E+02  3.442263E-02  1.867261E-05  1.714581E-09  2.297936E-09  2.568340E-09  3.123255E-09
 3.541500E+02  3.432580E-02  1.844665E-05  1.666198E-09  2.233539E-09  2.496474E-09  3.036441E-09
 3.551500E+02  3.422950E-02  1.822482E-05  1.619480E-09  2.171344E-09  2.427064E-09  2.952577E-09
 3.561500E+02  3.413374E-02  1.800701E-05  1.574360E-09  2.111266E-09  2.360012E-09  2.871548E-09
 3.571500E+02  3.403852E-02  1.779315E-05  1.530775E-09  2.053220E-09  2.295226E-09  2.793242E-09
 3.581500E+02  3.394382E-02  1.758313E-05  1.488664E-09  1.997127E-09  2.232617E-09  2.717554E-09
 3.591500E+02  3.384965E-02  1.737687E-05  1.447970E-09  1.942911E-09  2.172100E-09  2.644383E-09
 3.601500E+02  3.375599E-02  1.717428E-05  1.408637E-09  1.890498E-09  2.113595E-09  2.573630E-09
 3.611500E+02  3.366286E-02  1.697529E-05  1.370613E-09  1.839820E-09  2.057022E-09  2.505203E-09
 3.621500E+02  3.357023E-02  1.677981E-05  1.333847E-09  1.790809E-09  2.002309E-09  2.439014E-09
 3.631500E+02  3.347811E-02  1.658776E-05  1.298291E-09  1.743403E-09  1.949385E-09  2.374977E-09
 3.641500E+02  3.338649E-02  1.639907E-05  1.263898E-09  1.697539E-09  1.898181E-09  2.313011E-09
 3.651500E+02  3.329537E-02  1.621366E-05  1.230625E-09  1.653160E-09  1.848632E-09  2.253038E-09
 3.661500E+02  3.320474E-02  1.603146E-05  1.198429E-09  1.610209E-09  1.800677E-09  2.194983E-09
 3.671500E+02  3.311461E-02  1.585240E-05  1.167269E-09  1.568634E-09  1.754255E-09  2.138776E-09
 3.681500E+02  3.302496E-02  1.567641E-05  1.137107E-09  1.528383E-09  1.709310E-09  2.084347E-09
 3.691500E+02  3.293580E-02  1.550343E-05  1.107906E-09  1.489407E-09  1.665787E-09  2.031631E-09
 3.701500E+02  3.284711E-02  1.533338E-05  1.079629E-09  1.451659E-09  1.623634E-09  1.980565E-09
 3.711500E+02  3.275890E-02  1.516620E-05  1.052244E-09  1.415093E-09  1.582800E-09  1.931089E-09
 3.721500E+02  3.267116E-02  1.500184E-05  1.025717E-09  1.379668E-09  1.543237E-09  1.883146E-09
 3.731500E+02  3.258389E-02  1.484024E-05  1.000017E-09  1.345340E-09  1.504899E-09  1.836679E-09
 3.741500E+02  3.249708E-02  1.468132E-05  9.751136E-10  1.312072E-09  1.467742E-09  1.791637E-09
 3.751500E+02  3.241073E-02  1.452505E-05  9.509783E-10  1.279823E-09  1.431724E-09  1.747967E-09
 3.761500E+02  3.232484E-02  1.437135E-05  9.275835E-10  1.248559E-09  1.396803E-09  1.705621E-09
 3.771500E+02  3.223940E-02  1.422019E-05  9.049026E-10  1.218244E-09  1.362941E-09  1.664552E-09
 3.781500E+02  3.215441E-02  1.407149E-05  8.829103E-10  1.188843E-09  1.330100E-09  1.624715E-09
 3.791500E+02  3.206987E-02  1.392522E-05  8.615820E-10  1.160326E-09  1.298244E-09  1.586067E-09
 3.801500E+02  3.198576E-02  1.378132E-05  8.408944E-10  1.132661E-09  1.267338E-09  1.548566E-09
 3.811500E+02  3.190210E-02  1.363975E-05  8.208250E-10  1.105818E-09  1.237351E-09  1.512173E-09
 3.821500E+02  3.181888E-02  1.350045E-05  8.013522E-10  1.079769E-09  1.208248E-09  1.476849E-09
 3.831500E+02  3.173608E-02  1.336338E-05  7.824553E-10  1.054485E-09  1.180001E-09  1.442557E-09
 3.841500E+02  3.165371E-02  1.322849E-05  7.641143E-10  1.029942E-09  1.152579E-09  1.409262E-09
 3.851500E+02  3.157177E-02  1.309574E-05  7.463101E-10  1.006113E-09  1.125954E-09  1.376930E-09
 3.861500E+02  3.149026E-02  1.296509E-05  7.290243E-10  9.829738E-10  1.100100E-09  1.345528E-09
 3.871500E+02  3.140916E-02  1.283648E-05  7.122391E-10  9.605014E-10  1.074989E-09  1.315026E-09
 3.881500E+02  3.132847E-02  1.270990E-05  6.959377E-10  9.386732E-10  1.050597E-09  1.285392E-09
 3.891500E+02  3.124820E-02  1.258528E-05  6.801037E-10  9.174674E-10  1.026900E-09  1.256597E-09
 3.901500E+02  3.116834E-02  1.246259E-05  6.647214E-10  8.968632E-10  1.003875E-09  1.228615E-09
 3.911500E+02  3.108889E-02  1.234180E-05  6.497756E-10  8.768405E-10  9.814986E-10  1.201417E-09
 3.921500E+02  3.100983E-02  1.222287E-05  6.352517E-10  8.573802E-10  9.597499E-10  1.174978E-09
 3.931500E+02  3.093118E-02  1.210575E-05  6.211360E-10  8.384636E-10  9.386082E-10  1.149273E-09
 3.941500E+02  3.085293E-02  1.199042E-05  6.074147E-10  8.200729E-10  9.180535E-10  1.124278E-09
 3.951500E+02  3.077507E-02  1.187684E-05  5.940751E-10  8.021908E-10  8.980667E-10  1.099970E-09
 3.961500E+02  3.069760E-02  1.176497E-05  5.811045E-10  7.848009E-10  8.786293E-10  1.076327E-09
 3.971500E+02  3.062052E-02  1.165479E-05  5.684911E-10  7.678872E-10  8.597235E-10  1.053327E-09
 3.981500E+02  3.054382E-02  1.154626E-05  5.562232E-10  7.514343E-10  8.413322E-10  1.030950E-09
 3.991500E+02  3.046751E-02  1.143934E-05  5.442898E-10  7.354275E-10  8.234389E-10  1.009176E-09
