#         T/K          A/kJ          G/kJ
  2.731500000000E+02  -2.222448931381E+01  -1.995119320144E+01
  2.741500000000E+02  -2.252678604544E+01  -2.024512606854E+01
  2.751500000000E+02  -2.282932574638E+01  -2.053930309923E+01
  2.761500000000E+02  -2.313210792803E+01  -2.083372376795E+01
  2.771500000000E+02  -2.343513210403E+01  -2.112838755276E+01
  2.781500000000E+02  -2.373839779020E+01  -2.142329393522E+01
  2.791500000000E+02  -2.404190450454E+01  -2.171844240037E+01
  2.801500000000E+02  -2.434565176720E+01  -2.201383243661E+01
  2.811500000000E+02  -2.464963910047E+01  -2.230946353563E+01
  2.821500000000E+02  -2.495386602875E+01  -2.260533519238E+01
  2.831500000000E+02  -2.525833207856E+01  -2.290144690494E+01
  2.841500000000E+02  -2.556303677847E+01  -2.319779817453E+01
  2.851500000000E+02  -2.586797965914E+01  -2.349438850538E+01
  2.861500000000E+02  -2.617316025325E+01  -2.379121740472E+01
  2.871500000000E+02  -2.647857809554E+01  -2.408828438270E+01
  2.881500000000E+02  -2.678423272271E+01  -2.438558895233E+01
  2.891500000000E+02  -2.709012367349E+01  -2.468313062944E+01
  2.901500000000E+02  -2.739625048857E+01  -2.498090893263E+01
  2.911500000000E+02  -2.770261271058E+01  -2.527892338320E+01
  2.921500000000E+02  -2.800920988412E+01  -2.557717350514E+01
  2.931500000000E+02  -2.831604155568E+01  -2.587565882504E+01
  2.941500000000E+02  -2.862310727367E+01  -2.617437887207E+01
  2.951500000000E+02  -2.893040658838E+01  -2.647333317793E+01
  2.961500000000E+02  -2.923793905197E+01  -2.677252127682E+01
  2.971500000000E+02  -2.954570421848E+01  -2.707194270539E+01
  2.981500000000E+02  -2.985370164374E+01  -2.737159700268E+01
  2.991500000000E+02  -3.016193088545E+01  -2.767148371012E+01
  3.001500000000E+02  -3.047039150309E+01  -2.797160237149E+01
  3.011500000000E+02  -3.077908305795E+01  -2.827195253283E+01
  3.021500000000E+02  -3.108800511306E+01  -2.857253374248E+01
  3.031500000000E+02  -3.139715723326E+01  -2.887334555100E+01
  3.041500000000E+02  -3.170653898511E+01  -2.917438751116E+01
  3.051500000000E+02  -3.201614993690E+01  -2.947565917786E+01
  3.061500000000E+02  -3.232598965864E+01  -2.977716010820E+01
  3.071500000000E+02  -3.263605772204E+01  -3.007888986132E+01
