#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.731500E+02  5.802988E+01  6.030317E+01  2.938106E+02
 2.741500E+02  5.808840E+01  6.037006E+01  2.940550E+02
 2.751500E+02  5.814703E+01  6.043705E+01  2.942989E+02
 2.761500E+02  5.820575E+01  6.050414E+01  2.945423E+02
 2.771500E+02  5.826458E+01  6.057132E+01  2.947852E+02
 2.781500E+02  5.832350E+01  6.063861E+01  2.950275E+02
 2.791500E+02  5.838253E+01  6.070599E+01  2.952693E+02
 2.801500E+02  5.844166E+01  6.077348E+01  2.955107E+02
 2.811500E+02  5.850088E+01  6.084106E+01  2.957515E+02
 2.821500E+02  5.856021E+01  6.090874E+01  2.959918E+02
 2.831500E+02  5.861964E+01  6.097652E+01  2.962316E+02
 2.841500E+02  5.867916E+01  6.104440E+01  2.964709E+02
 2.851500E+02  5.873879E+01  6.111238E+01  2.967097E+02
 2.861500E+02  5.879852E+01  6.118046E+01  2.969480E+02
 2.871500E+02  5.885834E+01  6.124863E+01  2.971859E+02
 2.881500E+02  5.891826E+01  6.131691E+01  2.974232E+02
 2.891500E+02  5.897829E+01  6.138528E+01  2.976601E+02
 2.901500E+02  5.903841E+01  6.145375E+01  2.978965E+02
 2.911500E+02  5.909863E+01  6.152231E+01  2.981324E+02
 2.921500E+02  5.915894E+01  6.159098E+01  2.983678E+02
 2.931500E+02  5.921936E+01  6.165974E+01  2.986028E+02
 2.941500E+02  5.927987E+01  6.172860E+01  2.988373E+02
 2.951500E+02  5.934048E+01  6.179756E+01  2.990713E+02
 2.961500E+02  5.940119E+01  6.186661E+01  2.993048E+02
 2.971500E+02  5.946199E+01  6.193576E+01  2.995379E+02
 2.981500E+02  5.952290E+01  6.200500E+01  2.997706E+02
 2.991500E+02  5.958389E+01  6.207434E+01  3.000028E+02
 3.001500E+02  5.964499E+01  6.214378E+01  3.002345E+02
 3.011500E+02  5.970618E+01  6.221331E+01  3.004658E+02
 3.021500E+02  5.976747E+01  6.228294E+01  3.006966E+02
 3.031500E+02  5.982885E+01  6.235266E+01  3.009270E+02
 3.041500E+02  5.989033E+01  6.242248E+01  3.011569E+02
 3.051500E+02  5.995190E+01  6.249239E+01  3.013864E+02
 3.061500E+02  6.001357E+01  6.256240E+01  3.016154E+02
 3.071500E+02  6.007533E+01  6.263250E+01  3.018440E+02
 3.081500E+02  6.013719E+01  6.270270E+01  3.020722E+02
 3.091500E+02  6.019914E+01  6.277298E+01  3.022999E+02
 3.101500E+02  6.026119E+01  6.284337E+01  3.025272E+02
 3.111500E+02  6.032333E+01  6.291384E+01  3.027541E+02
 3.121500E+02  6.038556E+01  6.298441E+01  3.029805E+02
 3.131500E+02  6.044788E+01  6.305507E+01  3.032065E+02
 3.141500E+02  6.051030E+01  6.312582E+01  3.034321E+02
 3.151500E+02  6.057281E+01  6.319667E+01  3.036573E+02
 3.161500E+02  6.063541E+01  6.326761E+01  3.038820E+02
 3.171500E+02  6.069811E+01  6.333864E+01  3.041063E+02
 3.181500E+02  6.076090E+01  6.340976E+01  3.043302E+02
 3.191500E+02  6.082377E+01  6.348097E+01  3.045537E+02
 3.201500E+02  6.088674E+01  6.355227E+01  3.047767E+02
 3.211500E+02  6.094980E+01  6.362366E+01  3.049994E+02
 3.221500E+02  6.101296E+01  6.369515E+01  3.052216E+02
 3.231500E+02  6.107620E+01  6.376672E+01  3.054435E+02
 3.241500E+02  6.113953E+01  6.383838E+01  3.056649E+02
 3.251500E+02  6.120295E+01  6.391014E+01  3.058859E+02
 3.261500E+02  6.126646E+01  6.398198E+01  3.061065E+02
 3.271500E+02  6.133006E+01  6.405391E+01  3.063267E+02
 3.281500E+02  6.139375E+01  6.412593E+01  3.065465E+02
 3.291500E+02  6.145753E+01  6.419804E+01  3.067659E+02
 3.301500E+02  6.152139E+01  6.427023E+01  3.069849E+02
 3.311500E+02  6.158535E+01  6.434252E+01  3.072036E+02
 3.321500E+02  6.164939E+01  6.441489E+01  3.074218E+02
 3.331500E+02  6.171352E+01  6.448735E+01  3.076396E+02
 3.341500E+02  6.177774E+01  6.455989E+01  3.078570E+02
 3.351500E+02  6.184204E+01  6.463253E+01  3.080741E+02
 3.361500E+02  6.190643E+01  6.470525E+01  3.082907E+02
 3.371500E+02  6.197091E+01  6.477805E+01  3.085070E+02
 3.381500E+02  6.203547E+01  6.485094E+01  3.087229E+02
 3.391500E+02  6.210012E+01  6.492392E+01  3.089384E+02
