#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.731500E+02  5.822837E+01  6.659223E+01
 2.741500E+02  5.833638E+01  6.669965E+01
 2.751500E+02  5.844405E+01  6.680615E+01
 2.761500E+02  5.855139E+01  6.691235E+01
 2.771500E+02  5.865840E+01  6.701824E+01
 2.781500E+02  5.876507E+01  6.712384E+01
 2.791500E+02  5.887140E+01  6.722913E+01
 2.801500E+02  5.897739E+01  6.733412E+01
 2.811500E+02  5.908305E+01  6.743881E+01
 2.821500E+02  5.918838E+01  6.754318E+01
 2.831500E+02  5.929336E+01  6.764725E+01
 2.841500E+02  5.939802E+01  6.775101E+01
 2.851500E+02  5.950233E+01  6.785445E+01
 2.861500E+02  5.960631E+01  6.795759E+01
 2.871500E+02  5.970996E+01  6.806042E+01
 2.881500E+02  5.981326E+01  6.816293E+01
 2.891500E+02  5.991624E+01  6.826513E+01
 2.901500E+02  6.001887E+01  6.836702E+01
 2.911500E+02  6.012118E+01  6.846859E+01
 2.921500E+02  6.022314E+01  6.856985E+01
 2.931500E+02  6.032478E+01  6.867079E+01
 2.941500E+02  6.042607E+01  6.877141E+01
 2.951500E+02  6.052704E+01  6.887173E+01
 2.961500E+02  6.062767E+01  6.897172E+01
 2.971500E+02  6.072796E+01  6.907140E+01
 2.981500E+02  6.082793E+01  6.917076E+01
 2.991500E+02  6.092756E+01  6.926980E+01
 3.001500E+02  6.102685E+01  6.936853E+01
 3.011500E+02  6.112582E+01  6.946694E+01
 3.021500E+02  6.122445E+01  6.956503E+01
 3.031500E+02  6.132275E+01  6.966281E+01
 3.041500E+02  6.142073E+01  6.976026E+01
 3.051500E+02  6.151837E+01  6.985740E+01
 3.061500E+02  6.161568E+01  6.995423E+01
 3.071500E+02  6.171266E+01  7.005073E+01
 3.081500E+02  6.180931E+01  7.014692E+01
 3.091500E+02  6.190563E+01  7.024279E+01
 3.101500E+02  6.200163E+01  7.033835E+01
 3.111500E+02  6.209729E+01  7.043359E+01
 3.121500E+02  6.219263E+01  7.052851E+01
 3.131500E+02  6.228765E+01  7.062311E+01
 3.141500E+02  6.238234E+01  7.071740E+01
 3.151500E+02  6.247670E+01  7.081138E+01
 3.161500E+02  6.257074E+01  7.090503E+01
 3.171500E+02  6.266445E+01  7.099838E+01
 3.181500E+02  6.275784E+01  7.109141E+01
 3.191500E+02  6.285091E+01  7.118412E+01
 3.201500E+02  6.294365E+01  7.127652E+01
 3.211500E+02  6.303608E+01  7.136861E+01
 3.221500E+02  6.312818E+01  7.146038E+01
 3.231500E+02  6.321996E+01  7.155184E+01
 3.241500E+02  6.331142E+01  7.164299E+01
 3.251500E+02  6.340257E+01  7.173383E+01
 3.261500E+02  6.349339E+01  7.182435E+01
 3.271500E+02  6.358390E+01  7.191457E+01
 3.281500E+02  6.367409E+01  7.200447E+01
 3.291500E+02  6.376396E+01  7.209406E+01
 3.301500E+02  6.385352E+01  7.218335E+01
